City_ID,City Name,Latitude,Longitude,Temperature,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country
163,Dongkan,33.9997,119.8308,42.35,42.35,42.35,30,4,7.4,CN
164,Sofifi,0.7349,127.576,82.72,82.72,82.72,73,100,2.73,ID
165,Pszczyna,49.9804,18.9538,32.34,32.34,32.34,83,15,4.72,PL
166,El Gouna,27.3942,33.6782,60.89,60.89,60.89,47,99,10.42,EG
167,Udachny,66.4167,112.4,-12.01,-12.01,-12.01,99,99,6.8,RU
168,Moïssala,8.3404,17.7663,68.58,68.58,68.58,29,99,3.76,TD
169,Cologne,50.9333,6.95,42.28,43.45,40.95,91,100,11.5,DE
170,Tanout,14.9709,8.8879,52.32,52.32,52.32,27,6,13.33,NE
171,Talnakh,69.4865,88.3972,-8.95,-8.95,-8.95,99,100,6.08,RU
172,Klyuchi,52.2667,79.1667,9.54,9.54,9.54,90,100,8.3,RU
173,Būndi,25.4417,75.6417,65.52,65.52,65.52,38,0,3.24,IN
174,Southside,33.9245,-86.0225,30.11,30.11,30.11,86,0,0.0,US
175,Iskateley,67.6803,53.1512,13.23,13.23,13.23,93,91,14.5,RU
176,Tazacorte,28.629,-17.9293,68.97,68.97,68.97,73,100,8.05,ES
177,Okondja,-0.6549,13.6753,71.51,71.51,71.51,91,100,0.47,GA
178,Ephrata,40.1798,-76.1788,35.33,36.05,34.3,51,0,10.36,US
179,South Venice,27.0531,-82.4243,55.98,57.06,54.03,75,11,9.98,US
180,Bakhchisaray,44.75,33.8667,45.28,45.28,45.28,87,100,6.4,UA
181,Port Alfred,-33.5906,26.891,64.18,64.18,64.18,96,4,5.35,ZA
182,Xilin Hot,43.9667,116.0333,15.87,15.87,15.87,64,2,15.3,CN
183,Timaru,-44.4,171.25,84.07,84.07,84.07,32,48,11.01,NZ
184,Susuman,62.7833,148.1667,-23.19,-23.19,-23.19,100,95,0.76,RU
185,Jamestown,42.097,-79.2353,33.39,35.02,31.64,61,100,18.41,US
186,Faaa,-17.55,-149.6,85.96,85.96,85.96,54,20,12.66,PF
187,Beledweyne,4.7358,45.2036,80.1,80.1,80.1,60,51,9.53,SO
188,Maintirano,-18.0667,44.0167,83.89,83.89,83.89,63,64,7.67,MG
189,Māngrol,21.1167,70.1167,73.06,73.06,73.06,60,32,8.16,IN
190,Omutinskiy,56.4745,67.6709,7.84,7.84,7.84,97,100,2.91,RU
191,Kisangani,0.5167,25.2,66.76,66.76,66.76,97,7,1.61,CD
